Year,State,Metric,Age Range,"Events per 1,000 women"
2012,WV,Birth Rate,20-24,103.5
2013,WV,Birth Rate,20-24,106.3
2014,WV,Birth Rate,20-24,101.1
2015,WV,Birth Rate,20-24,99.9
2016,WV,Birth Rate,20-24,96.4
1988,WI,Birth Rate,20-24,94.1
1992,WI,Birth Rate,20-24,91.8
1996,WI,Birth Rate,20-24,86.2
2000,WI,Birth Rate,20-24,88.79999999999998
2005,WI,Birth Rate,20-24,84.2
2006,WI,Birth Rate,20-24,87.4
2007,WI,Birth Rate,20-24,87.7
2008,WI,Birth Rate,20-24,88.0
2009,WI,Birth Rate,20-24,83.79999999999998
2010,WI,Birth Rate,20-24,79.09999999999998
2011,WI,Birth Rate,20-24,76.0
2012,WI,Birth Rate,20-24,73.0
2013,WI,Birth Rate,20-24,69.4
2014,WI,Birth Rate,20-24,67.0
2015,WI,Birth Rate,20-24,64.0
2016,WI,Birth Rate,20-24,59.7
1988,WY,Birth Rate,20-24,144.6
1992,WY,Birth Rate,20-24,147.3
1996,WY,Birth Rate,20-24,124.7
2000,WY,Birth Rate,20-24,130.7
2005,WY,Birth Rate,20-24,126.9
2006,WY,Birth Rate,20-24,132.8
2007,WY,Birth Rate,20-24,130.3
2008,WY,Birth Rate,20-24,131.8
2009,WY,Birth Rate,20-24,120.2
2010,WY,Birth Rate,20-24,116.6
2011,WY,Birth Rate,20-24,108.6
2012,WY,Birth Rate,20-24,102.3
2013,WY,Birth Rate,20-24,104.3
2014,WY,Birth Rate,20-24,103.0
2015,WY,Birth Rate,20-24,104.9
2016,WY,Birth Rate,20-24,93.4
1988,AL,Birth Rate,15-19,63.3
1992,AL,Birth Rate,15-19,72.0
1996,AL,Birth Rate,15-19,67.1
2000,AL,Birth Rate,15-19,60.6
2005,AL,Birth Rate,15-19,48.1
2006,AL,Birth Rate,15-19,51.8
2007,AL,Birth Rate,15-19,52.1
2008,AL,Birth Rate,15-19,50.5
2009,AL,Birth Rate,15-19,48.3
2010,AL,Birth Rate,15-19,44.0
2011,AL,Birth Rate,15-19,41.0
2012,AL,Birth Rate,15-19,39.1
2013,AL,Birth Rate,15-19,34.2
2014,AL,Birth Rate,15-19,32.0
2015,AL,Birth Rate,15-19,30.1
2016,AL,Birth Rate,15-19,28.4
1988,AK,Birth Rate,15-19,55.6
1992,AK,Birth Rate,15-19,65.2
1996,AK,Birth Rate,15-19,50.8
2000,AK,Birth Rate,15-19,48.9
2005,AK,Birth Rate,15-19,39.9
2006,AK,Birth Rate,15-19,41.8
2007,AK,Birth Rate,15-19,42.9
2008,AK,Birth Rate,15-19,44.2
2009,AK,Birth Rate,15-19,43.2
2010,AK,Birth Rate,15-19,38.5
2011,AK,Birth Rate,15-19,36.4
2012,AK,Birth Rate,15-19,34.7
2013,AK,Birth Rate,15-19,30.6
2014,AK,Birth Rate,15-19,28.3
2015,AK,Birth Rate,15-19,29.5
2016,AK,Birth Rate,15-19,26.0
1988,AZ,Birth Rate,15-19,69.4
1992,AZ,Birth Rate,15-19,80.2
1996,AZ,Birth Rate,15-19,71.5
2000,AZ,Birth Rate,15-19,67.4
2005,AZ,Birth Rate,15-19,58.7
2006,AZ,Birth Rate,15-19,61.2
2007,AZ,Birth Rate,15-19,59.6
2008,AZ,Birth Rate,15-19,54.5
2009,AZ,Birth Rate,15-19,48.6
2010,AZ,Birth Rate,15-19,42.0
2011,AZ,Birth Rate,15-19,38.2
2012,AZ,Birth Rate,15-19,37.0
2013,AZ,Birth Rate,15-19,33.0
2014,AZ,Birth Rate,15-19,29.9
2015,AZ,Birth Rate,15-19,26.3
2016,AZ,Birth Rate,15-19,23.4
1988,AR,Birth Rate,15-19,71.6
1992,AR,Birth Rate,15-19,74.79999999999998
1996,AR,Birth Rate,15-19,73.5
2000,AR,Birth Rate,15-19,66.0
2005,AR,Birth Rate,15-19,58.6
2006,AR,Birth Rate,15-19,60.8
2007,AR,Birth Rate,15-19,60.1
2008,AR,Birth Rate,15-19,59.8
2009,AR,Birth Rate,15-19,57.8
2010,AR,Birth Rate,15-19,52.7
2011,AR,Birth Rate,15-19,49.7
2012,AR,Birth Rate,15-19,45.1
2013,AR,Birth Rate,15-19,43.1
2014,AR,Birth Rate,15-19,39.3
2015,AR,Birth Rate,15-19,37.9
2016,AR,Birth Rate,15-19,34.7
1988,CA,Birth Rate,15-19,58.4
1992,CA,Birth Rate,15-19,72.79999999999998
1996,CA,Birth Rate,15-19,61.0
2000,CA,Birth Rate,15-19,46.9
2005,CA,Birth Rate,15-19,38.7
2006,CA,Birth Rate,15-19,39.9
2007,CA,Birth Rate,15-19,39.6
2008,CA,Birth Rate,15-19,37.9
2009,CA,Birth Rate,15-19,34.9
2010,CA,Birth Rate,15-19,31.7
2011,CA,Birth Rate,15-19,28.7
2012,CA,Birth Rate,15-19,26.6
2013,CA,Birth Rate,15-19,23.5
2014,CA,Birth Rate,15-19,21.1
2015,CA,Birth Rate,15-19,19.0
2016,CA,Birth Rate,15-19,17.0
1988,CO,Birth Rate,15-19,48.7
1992,CO,Birth Rate,15-19,58.4
1996,CO,Birth Rate,15-19,50.7
2000,CO,Birth Rate,15-19,50.9
2005,CO,Birth Rate,15-19,41.8
2006,CO,Birth Rate,15-19,41.9
2007,CO,Birth Rate,15-19,41.6
2008,CO,Birth Rate,15-19,40.5
2009,CO,Birth Rate,15-19,37.7
2010,CO,Birth Rate,15-19,33.3
2011,CO,Birth Rate,15-19,28.7
2012,CO,Birth Rate,15-19,25.3
2013,CO,Birth Rate,15-19,23.3
2014,CO,Birth Rate,15-19,20.3
2015,CO,Birth Rate,15-19,19.4
2016,CO,Birth Rate,15-19,17.8
1988,CT,Birth Rate,15-19,35.0
1992,CT,Birth Rate,15-19,39.0
1996,CT,Birth Rate,15-19,36.6
2000,CT,Birth Rate,15-19,31.1
2005,CT,Birth Rate,15-19,23.3
2006,CT,Birth Rate,15-19,23.5
2007,CT,Birth Rate,15-19,23.0
2008,CT,Birth Rate,15-19,22.6
2009,CT,Birth Rate,15-19,21.2
2010,CT,Birth Rate,15-19,18.4
2011,CT,Birth Rate,15-19,16.1
2012,CT,Birth Rate,15-19,15.0
2013,CT,Birth Rate,15-19,12.9
2014,CT,Birth Rate,15-19,11.5
2015,CT,Birth Rate,15-19,10.2
2016,CT,Birth Rate,15-19,9.4
1988,DE,Birth Rate,15-19,53.1
1992,DE,Birth Rate,15-19,58.7
1996,DE,Birth Rate,15-19,53.8
2000,DE,Birth Rate,15-19,47.9
2005,DE,Birth Rate,15-19,40.1
2006,DE,Birth Rate,15-19,40.6
2007,DE,Birth Rate,15-19,39.2
2008,DE,Birth Rate,15-19,38.3
2009,DE,Birth Rate,15-19,33.5
2010,DE,Birth Rate,15-19,30.7
2011,DE,Birth Rate,15-19,29.1
2012,DE,Birth Rate,15-19,25.1
2013,DE,Birth Rate,15-19,24.4
2014,DE,Birth Rate,15-19,20.9
2015,DE,Birth Rate,15-19,18.2
2016,DE,Birth Rate,15-19,19.7
1988,DC,Birth Rate,15-19,75.59999999999998
1992,DC,Birth Rate,15-19,106.7
1996,DC,Birth Rate,15-19,79.2
2000,DC,Birth Rate,15-19,53.3
2005,DC,Birth Rate,15-19,42.1
2006,DC,Birth Rate,15-19,48.1
2007,DC,Birth Rate,15-19,50.4
2008,DC,Birth Rate,15-19,51.1
2009,DC,Birth Rate,15-19,48.5
2010,DC,Birth Rate,15-19,45.6
2011,DC,Birth Rate,15-19,42.9
2012,DC,Birth Rate,15-19,39.1
2013,DC,Birth Rate,15-19,32.1
2014,DC,Birth Rate,15-19,28.9
2015,DC,Birth Rate,15-19,25.8
2016,DC,Birth Rate,15-19,23.8
1988,FL,Birth Rate,15-19,62.4
1992,FL,Birth Rate,15-19,65.2
1996,FL,Birth Rate,15-19,57.2
2000,FL,Birth Rate,15-19,50.8
2005,FL,Birth Rate,15-19,42.3
2006,FL,Birth Rate,15-19,43.1
2007,FL,Birth Rate,15-19,43.0
2008,FL,Birth Rate,15-19,40.0
2009,FL,Birth Rate,15-19,36.6
2010,FL,Birth Rate,15-19,32.3
2011,FL,Birth Rate,15-19,29.6
2012,FL,Birth Rate,15-19,28.0
2013,FL,Birth Rate,15-19,24.5
2014,FL,Birth Rate,15-19,22.5
2015,FL,Birth Rate,15-19,20.8
2016,FL,Birth Rate,15-19,19.2
1988,GA,Birth Rate,15-19,68.2
1992,GA,Birth Rate,15-19,74.2
1996,GA,Birth Rate,15-19,66.8
2000,GA,Birth Rate,15-19,62.5
2005,GA,Birth Rate,15-19,52.0
2006,GA,Birth Rate,15-19,53.7
2007,GA,Birth Rate,15-19,53.4
2008,GA,Birth Rate,15-19,50.0
2009,GA,Birth Rate,15-19,47.0
2010,GA,Birth Rate,15-19,41.5
2011,GA,Birth Rate,15-19,38.0
2012,GA,Birth Rate,15-19,33.7
2013,GA,Birth Rate,15-19,30.4
2014,GA,Birth Rate,15-19,28.3
2015,GA,Birth Rate,15-19,25.6
2016,GA,Birth Rate,15-19,23.5
1988,HI,Birth Rate,15-19,49.0
1992,HI,Birth Rate,15-19,54.2
1996,HI,Birth Rate,15-19,48.9
2000,HI,Birth Rate,15-19,46.1
2005,HI,Birth Rate,15-19,36.5
2006,HI,Birth Rate,15-19,39.0
2007,HI,Birth Rate,15-19,38.7
2008,HI,Birth Rate,15-19,38.9
2009,HI,Birth Rate,15-19,37.0
2010,HI,Birth Rate,15-19,32.6
2011,HI,Birth Rate,15-19,29.8
2012,HI,Birth Rate,15-19,28.1
2013,HI,Birth Rate,15-19,25.1
2014,HI,Birth Rate,15-19,23.5
2015,HI,Birth Rate,15-19,20.9
2016,HI,Birth Rate,15-19,19.3
1988,ID,Birth Rate,15-19,46.5
1992,ID,Birth Rate,15-19,51.5
1996,ID,Birth Rate,15-19,46.9
2000,ID,Birth Rate,15-19,42.7
2005,ID,Birth Rate,15-19,36.4
2006,ID,Birth Rate,15-19,38.1
2007,ID,Birth Rate,15-19,39.9
2008,ID,Birth Rate,15-19,39.6
2009,ID,Birth Rate,15-19,35.9
2010,ID,Birth Rate,15-19,33.1
2011,ID,Birth Rate,15-19,28.4
2012,ID,Birth Rate,15-19,28.3
2013,ID,Birth Rate,15-19,25.6
2014,ID,Birth Rate,15-19,23.2
2015,ID,Birth Rate,15-19,22.5
2016,ID,Birth Rate,15-19,19.8
1988,IL,Birth Rate,15-19,54.0
1992,IL,Birth Rate,15-19,63.0
1996,IL,Birth Rate,15-19,55.3
2000,IL,Birth Rate,15-19,47.9
2005,IL,Birth Rate,15-19,38.5
2006,IL,Birth Rate,15-19,39.8
2007,IL,Birth Rate,15-19,40.2
2008,IL,Birth Rate,15-19,38.5
2009,IL,Birth Rate,15-19,35.9
2010,IL,Birth Rate,15-19,33.1
2011,IL,Birth Rate,15-19,29.5
2012,IL,Birth Rate,15-19,27.9
2013,IL,Birth Rate,15-19,24.6
2014,IL,Birth Rate,15-19,22.8
2015,IL,Birth Rate,15-19,21.1
2016,IL,Birth Rate,15-19,18.7
1988,IN,Birth Rate,15-19,52.4
1992,IN,Birth Rate,15-19,58.5
1996,IN,Birth Rate,15-19,55.1
2000,IN,Birth Rate,15-19,49.0
2005,IN,Birth Rate,15-19,42.1
2006,IN,Birth Rate,15-19,41.8
2007,IN,Birth Rate,15-19,43.0
2008,IN,Birth Rate,15-19,41.2
2009,IN,Birth Rate,15-19,40.8
2010,IN,Birth Rate,15-19,37.5
2011,IN,Birth Rate,15-19,34.8
2012,IN,Birth Rate,15-19,33.0
2013,IN,Birth Rate,15-19,30.3
2014,IN,Birth Rate,15-19,28.0
2015,IN,Birth Rate,15-19,26.1
2016,IN,Birth Rate,15-19,23.5
1988,IA,Birth Rate,15-19,34.1
1992,IA,Birth Rate,15-19,40.5
1996,IA,Birth Rate,15-19,37.4
2000,IA,Birth Rate,15-19,34.2
2005,IA,Birth Rate,15-19,31.1
2006,IA,Birth Rate,15-19,32.6
2007,IA,Birth Rate,15-19,32.8
2008,IA,Birth Rate,15-19,33.4
2009,IA,Birth Rate,15-19,32.1
2010,IA,Birth Rate,15-19,28.6
2011,IA,Birth Rate,15-19,25.3
2012,IA,Birth Rate,15-19,24.1
2013,IA,Birth Rate,15-19,22.0
2014,IA,Birth Rate,15-19,19.6
2015,IA,Birth Rate,15-19,18.5
2016,IA,Birth Rate,15-19,17.2
1988,KS,Birth Rate,15-19,50.8
1992,KS,Birth Rate,15-19,55.6
1996,KS,Birth Rate,15-19,49.4
2000,KS,Birth Rate,15-19,45.9
2005,KS,Birth Rate,15-19,40.1
2006,KS,Birth Rate,15-19,40.9
2007,KS,Birth Rate,15-19,42.5
2008,KS,Birth Rate,15-19,44.1
2009,KS,Birth Rate,15-19,42.7
2010,KS,Birth Rate,15-19,39.2
2011,KS,Birth Rate,15-19,35.6
2012,KS,Birth Rate,15-19,34.1
2013,KS,Birth Rate,15-19,29.6
2014,KS,Birth Rate,15-19,27.6
2015,KS,Birth Rate,15-19,25.6
2016,KS,Birth Rate,15-19,21.9
1988,KY,Birth Rate,15-19,60.8
1992,KY,Birth Rate,15-19,64.8
1996,KY,Birth Rate,15-19,61.2
2000,KY,Birth Rate,15-19,55.0
2005,KY,Birth Rate,15-19,48.1
2006,KY,Birth Rate,15-19,52.3
2007,KY,Birth Rate,15-19,52.6
2008,KY,Birth Rate,15-19,52.5
2009,KY,Birth Rate,15-19,49.7
2010,KY,Birth Rate,15-19,46.4
2011,KY,Birth Rate,15-19,43.3
2012,KY,Birth Rate,15-19,41.1
2013,KY,Birth Rate,15-19,39.0
2014,KY,Birth Rate,15-19,35.3
2015,KY,Birth Rate,15-19,32.3
2016,KY,Birth Rate,15-19,30.9
1988,LA,Birth Rate,15-19,68.4
1992,LA,Birth Rate,15-19,76.09999999999998
1996,LA,Birth Rate,15-19,66.8
2000,LA,Birth Rate,15-19,62.0
2005,LA,Birth Rate,15-19,47.3
2006,LA,Birth Rate,15-19,53.6
2007,LA,Birth Rate,15-19,55.2
2008,LA,Birth Rate,15-19,54.0
2009,LA,Birth Rate,15-19,51.7
2010,LA,Birth Rate,15-19,48.2
2011,LA,Birth Rate,15-19,45.5
2012,LA,Birth Rate,15-19,43.1
2013,LA,Birth Rate,15-19,39.3
2014,LA,Birth Rate,15-19,35.9
2015,LA,Birth Rate,15-19,34.3
2016,LA,Birth Rate,15-19,30.8
1988,ME,Birth Rate,15-19,41.1
1992,ME,Birth Rate,15-19,40.0
1996,ME,Birth Rate,15-19,31.7
2000,ME,Birth Rate,15-19,29.1
2005,ME,Birth Rate,15-19,24.4
2006,ME,Birth Rate,15-19,24.9
2007,ME,Birth Rate,15-19,26.0
2008,ME,Birth Rate,15-19,25.0
2009,ME,Birth Rate,15-19,24.0
2010,ME,Birth Rate,15-19,21.5
2011,ME,Birth Rate,15-19,20.7
2012,ME,Birth Rate,15-19,19.5
2013,ME,Birth Rate,15-19,17.4
2014,ME,Birth Rate,15-19,16.4
2015,ME,Birth Rate,15-19,15.3
2016,ME,Birth Rate,15-19,14.8
1988,MD,Birth Rate,15-19,49.8
1992,MD,Birth Rate,15-19,50.6
1996,MD,Birth Rate,15-19,45.7
2000,MD,Birth Rate,15-19,41.2
2005,MD,Birth Rate,15-19,32.1
2006,MD,Birth Rate,15-19,33.7
2007,MD,Birth Rate,15-19,34.3
2008,MD,Birth Rate,15-19,32.6
2009,MD,Birth Rate,15-19,30.7
2010,MD,Birth Rate,15-19,27.3
2011,MD,Birth Rate,15-19,24.4
2012,MD,Birth Rate,15-19,22.1
2013,MD,Birth Rate,15-19,19.3
2014,MD,Birth Rate,15-19,17.9
2015,MD,Birth Rate,15-19,17.0
2016,MD,Birth Rate,15-19,16.0
1988,MA,Birth Rate,15-19,32.0
1992,MA,Birth Rate,15-19,37.5
1996,MA,Birth Rate,15-19,31.1
2000,MA,Birth Rate,15-19,25.8
2005,MA,Birth Rate,15-19,20.0
2006,MA,Birth Rate,15-19,20.6
2007,MA,Birth Rate,15-19,21.4
2008,MA,Birth Rate,15-19,19.8
2009,MA,Birth Rate,15-19,19.5
2010,MA,Birth Rate,15-19,17.0
2011,MA,Birth Rate,15-19,15.1
2012,MA,Birth Rate,15-19,14.0
2013,MA,Birth Rate,15-19,11.9
2014,MA,Birth Rate,15-19,10.5
2015,MA,Birth Rate,15-19,9.4
2016,MA,Birth Rate,15-19,8.5
1988,MI,Birth Rate,15-19,47.0
1992,MI,Birth Rate,15-19,56.6
1996,MI,Birth Rate,15-19,46.4
2000,MI,Birth Rate,15-19,40.1
2005,MI,Birth Rate,15-19,32.2
2006,MI,Birth Rate,15-19,33.2
2007,MI,Birth Rate,15-19,33.5
2008,MI,Birth Rate,15-19,32.3
2009,MI,Birth Rate,15-19,31.9
2010,MI,Birth Rate,15-19,30.3
2011,MI,Birth Rate,15-19,27.7
2012,MI,Birth Rate,15-19,26.1
2013,MI,Birth Rate,15-19,23.5
2014,MI,Birth Rate,15-19,21.0
2015,MI,Birth Rate,15-19,19.3
2016,MI,Birth Rate,15-19,17.7
1988,MN,Birth Rate,15-19,31.2
1992,MN,Birth Rate,15-19,35.9
1996,MN,Birth Rate,15-19,32.3
2000,MN,Birth Rate,15-19,29.9
2005,MN,Birth Rate,15-19,25.5
2006,MN,Birth Rate,15-19,27.3
2007,MN,Birth Rate,15-19,27.9
2008,MN,Birth Rate,15-19,26.5
2009,MN,Birth Rate,15-19,24.1
2010,MN,Birth Rate,15-19,22.5
2011,MN,Birth Rate,15-19,19.3
2012,MN,Birth Rate,15-19,18.6
2013,MN,Birth Rate,15-19,16.8
2014,MN,Birth Rate,15-19,15.5
2015,MN,Birth Rate,15-19,13.7
2016,MN,Birth Rate,15-19,12.6
1988,MS,Birth Rate,15-19,74.0
1992,MS,Birth Rate,15-19,83.59999999999998
1996,MS,Birth Rate,15-19,74.0
2000,MS,Birth Rate,15-19,70.1
2005,MS,Birth Rate,15-19,58.3
2006,MS,Birth Rate,15-19,67.2
2007,MS,Birth Rate,15-19,70.1
2008,MS,Birth Rate,15-19,64.0
2009,MS,Birth Rate,15-19,62.2
2010,MS,Birth Rate,15-19,55.4
2011,MS,Birth Rate,15-19,50.5
2012,MS,Birth Rate,15-19,46.0
2013,MS,Birth Rate,15-19,42.2
2014,MS,Birth Rate,15-19,37.8
2015,MS,Birth Rate,15-19,34.7
2016,MS,Birth Rate,15-19,32.6
1988,MO,Birth Rate,15-19,55.5
1992,MO,Birth Rate,15-19,63.1
1996,MO,Birth Rate,15-19,53.2
2000,MO,Birth Rate,15-19,48.5
2005,MO,Birth Rate,15-19,41.7
2006,MO,Birth Rate,15-19,44.1
2007,MO,Birth Rate,15-19,44.0
2008,MO,Birth Rate,15-19,43.5
2009,MO,Birth Rate,15-19,40.6
2010,MO,Birth Rate,15-19,37.3
2011,MO,Birth Rate,15-19,34.6
2012,MO,Birth Rate,15-19,32.2
2013,MO,Birth Rate,15-19,30.0
2014,MO,Birth Rate,15-19,27.3
2015,MO,Birth Rate,15-19,25.2
2016,MO,Birth Rate,15-19,23.4
1988,MT,Birth Rate,15-19,40.2
1992,MT,Birth Rate,15-19,46.0
1996,MT,Birth Rate,15-19,39.3
2000,MT,Birth Rate,15-19,36.6
2005,MT,Birth Rate,15-19,34.5
2006,MT,Birth Rate,15-19,37.6
2007,MT,Birth Rate,15-19,35.3
2008,MT,Birth Rate,15-19,38.9
2009,MT,Birth Rate,15-19,38.4
2010,MT,Birth Rate,15-19,35.1
2011,MT,Birth Rate,15-19,29.3
2012,MT,Birth Rate,15-19,28.8
2013,MT,Birth Rate,15-19,27.8
2014,MT,Birth Rate,15-19,26.6
2015,MT,Birth Rate,15-19,25.5
2016,MT,Birth Rate,15-19,23.7
1988,NE,Birth Rate,15-19,38.5
1992,NE,Birth Rate,15-19,41.1
1996,NE,Birth Rate,15-19,38.9
2000,NE,Birth Rate,15-19,37.6
2005,NE,Birth Rate,15-19,33.1
2006,NE,Birth Rate,15-19,32.8
2007,NE,Birth Rate,15-19,35.5
2008,NE,Birth Rate,15-19,35.8
2009,NE,Birth Rate,15-19,34.8
2010,NE,Birth Rate,15-19,31.1
2011,NE,Birth Rate,15-19,27.4
2012,NE,Birth Rate,15-19,26.7
2013,NE,Birth Rate,15-19,24.9
2014,NE,Birth Rate,15-19,22.3
2015,NE,Birth Rate,15-19,22.1
2016,NE,Birth Rate,15-19,19.2
1988,NV,Birth Rate,15-19,64.0
1992,NV,Birth Rate,15-19,70.6
1996,NV,Birth Rate,15-19,69.5
2000,NV,Birth Rate,15-19,62.3
2005,NV,Birth Rate,15-19,51.6
2006,NV,Birth Rate,15-19,53.4
2007,NV,Birth Rate,15-19,51.7
2008,NV,Birth Rate,15-19,49.1
2009,NV,Birth Rate,15-19,44.0
2010,NV,Birth Rate,15-19,39.0
2011,NV,Birth Rate,15-19,36.1
2012,NV,Birth Rate,15-19,33.8
2013,NV,Birth Rate,15-19,30.8
2014,NV,Birth Rate,15-19,28.9
2015,NV,Birth Rate,15-19,27.8
2016,NV,Birth Rate,15-19,24.2
1988,NH,Birth Rate,15-19,32.6
1992,NH,Birth Rate,15-19,31.3
1996,NH,Birth Rate,15-19,28.2
2000,NH,Birth Rate,15-19,23.3
2005,NH,Birth Rate,15-19,18.0
2006,NH,Birth Rate,15-19,18.1
2007,NH,Birth Rate,15-19,19.3
2008,NH,Birth Rate,15-19,19.1
2009,NH,Birth Rate,15-19,16.4
2010,NH,Birth Rate,15-19,15.7
2011,NH,Birth Rate,15-19,13.6
2012,NH,Birth Rate,15-19,13.8
2013,NH,Birth Rate,15-19,12.6
2014,NH,Birth Rate,15-19,11.0
2015,NH,Birth Rate,15-19,10.9
2016,NH,Birth Rate,15-19,9.2
1988,NJ,Birth Rate,15-19,37.9
1992,NJ,Birth Rate,15-19,38.9
1996,NJ,Birth Rate,15-19,35.2
2000,NJ,Birth Rate,15-19,31.8
2005,NJ,Birth Rate,15-19,24.2
2006,NJ,Birth Rate,15-19,24.8
2007,NJ,Birth Rate,15-19,24.9
2008,NJ,Birth Rate,15-19,24.0
2009,NJ,Birth Rate,15-19,22.0
2010,NJ,Birth Rate,15-19,20.0
2011,NJ,Birth Rate,15-19,18.6
2012,NJ,Birth Rate,15-19,16.7
2013,NJ,Birth Rate,15-19,14.9
2014,NJ,Birth Rate,15-19,13.2
2015,NJ,Birth Rate,15-19,12.2
2016,NJ,Birth Rate,15-19,11.1
1988,NM,Birth Rate,15-19,72.4
1992,NM,Birth Rate,15-19,79.7
1996,NM,Birth Rate,15-19,70.5
2000,NM,Birth Rate,15-19,65.5
2005,NM,Birth Rate,15-19,61.2
2006,NM,Birth Rate,15-19,62.7
2007,NM,Birth Rate,15-19,63.9
2008,NM,Birth Rate,15-19,61.4
2009,NM,Birth Rate,15-19,60.3
2010,NM,Birth Rate,15-19,53.2
2011,NM,Birth Rate,15-19,48.3
2012,NM,Birth Rate,15-19,46.8
2013,NM,Birth Rate,15-19,42.9
2014,NM,Birth Rate,15-19,37.3
2015,NM,Birth Rate,15-19,34.0
2016,NM,Birth Rate,15-19,29.6
1988,NY,Birth Rate,15-19,39.6
1992,NY,Birth Rate,15-19,44.5
1996,NY,Birth Rate,15-19,39.9
2000,NY,Birth Rate,15-19,33.2
2005,NY,Birth Rate,15-19,25.7
2006,NY,Birth Rate,15-19,26.0
2007,NY,Birth Rate,15-19,26.0
2008,NY,Birth Rate,15-19,25.5
2009,NY,Birth Rate,15-19,24.2
2010,NY,Birth Rate,15-19,22.8
2011,NY,Birth Rate,15-19,21.1
2012,NY,Birth Rate,15-19,19.7
2013,NY,Birth Rate,15-19,17.7
2014,NY,Birth Rate,15-19,16.2
2015,NY,Birth Rate,15-19,14.8
2016,NY,Birth Rate,15-19,13.4
1988,NC,Birth Rate,15-19,60.9
1992,NC,Birth Rate,15-19,69.2
1996,NC,Birth Rate,15-19,62.3
2000,NC,Birth Rate,15-19,58.6
2005,NC,Birth Rate,15-19,47.0
2006,NC,Birth Rate,15-19,48.1
2007,NC,Birth Rate,15-19,48.0
2008,NC,Birth Rate,15-19,47.3
2009,NC,Birth Rate,15-19,43.7
2010,NC,Birth Rate,15-19,38.3
2011,NC,Birth Rate,15-19,34.8
2012,NC,Birth Rate,15-19,31.8
2013,NC,Birth Rate,15-19,28.4
2014,NC,Birth Rate,15-19,26.0
2015,NC,Birth Rate,15-19,23.6
2016,NC,Birth Rate,15-19,21.6
1988,ND,Birth Rate,15-19,32.3
1992,ND,Birth Rate,15-19,36.9
1996,ND,Birth Rate,15-19,31.6
2000,ND,Birth Rate,15-19,27.3
2005,ND,Birth Rate,15-19,27.0
2006,ND,Birth Rate,15-19,26.1
2007,ND,Birth Rate,15-19,29.2
2008,ND,Birth Rate,15-19,28.3
2009,ND,Birth Rate,15-19,28.7
2010,ND,Birth Rate,15-19,28.9
2011,ND,Birth Rate,15-19,28.4
2012,ND,Birth Rate,15-19,26.5
2013,ND,Birth Rate,15-19,24.4
2014,ND,Birth Rate,15-19,24.4
2015,ND,Birth Rate,15-19,22.7
2016,ND,Birth Rate,15-19,20.5
1988,OH,Birth Rate,15-19,51.8
1992,OH,Birth Rate,15-19,58.0
1996,OH,Birth Rate,15-19,50.4
2000,OH,Birth Rate,15-19,46.0
2005,OH,Birth Rate,15-19,38.3
2006,OH,Birth Rate,15-19,38.9
2007,OH,Birth Rate,15-19,39.9
2008,OH,Birth Rate,15-19,39.5
2009,OH,Birth Rate,15-19,37.9
2010,OH,Birth Rate,15-19,34.3
2011,OH,Birth Rate,15-19,31.4
2012,OH,Birth Rate,15-19,29.7
2013,OH,Birth Rate,15-19,27.2
2014,OH,Birth Rate,15-19,25.1
2015,OH,Birth Rate,15-19,23.3
2016,OH,Birth Rate,15-19,21.7
1988,OK,Birth Rate,15-19,63.5
1992,OK,Birth Rate,15-19,69.8
1996,OK,Birth Rate,15-19,63.1
2000,OK,Birth Rate,15-19,59.6
2005,OK,Birth Rate,15-19,52.8
2006,OK,Birth Rate,15-19,56.6
2007,OK,Birth Rate,15-19,58.5
2008,OK,Birth Rate,15-19,57.8
2009,OK,Birth Rate,15-19,57.4
2010,OK,Birth Rate,15-19,50.7
2011,OK,Birth Rate,15-19,48.0
2012,OK,Birth Rate,15-19,47.3
2013,OK,Birth Rate,15-19,42.9
2014,OK,Birth Rate,15-19,38.6
2015,OK,Birth Rate,15-19,34.7
2016,OK,Birth Rate,15-19,33.3
1988,OR,Birth Rate,15-19,47.9
1992,OR,Birth Rate,15-19,53.0
1996,OR,Birth Rate,15-19,50.5
2000,OR,Birth Rate,15-19,42.7
2005,OR,Birth Rate,15-19,32.7
2006,OR,Birth Rate,15-19,34.5
2007,OR,Birth Rate,15-19,34.5
2008,OR,Birth Rate,15-19,35.6
2009,OR,Birth Rate,15-19,32.5
2010,OR,Birth Rate,15-19,28.3
2011,OR,Birth Rate,15-19,25.8
2012,OR,Birth Rate,15-19,23.7
2013,OR,Birth Rate,15-19,21.8
2014,OR,Birth Rate,15-19,20.1
2015,OR,Birth Rate,15-19,19.2
2016,OR,Birth Rate,15-19,16.6
1988,PA,Birth Rate,15-19,41.3
1992,PA,Birth Rate,15-19,44.8
1996,PA,Birth Rate,15-19,38.4
2000,PA,Birth Rate,15-19,34.0
2005,PA,Birth Rate,15-19,29.2
2006,PA,Birth Rate,15-19,30.4
2007,PA,Birth Rate,15-19,30.7
2008,PA,Birth Rate,15-19,30.4
2009,PA,Birth Rate,15-19,28.7
2010,PA,Birth Rate,15-19,27.1
2011,PA,Birth Rate,15-19,25.0
2012,PA,Birth Rate,15-19,23.7
2013,PA,Birth Rate,15-19,20.8
2014,PA,Birth Rate,15-19,19.3
2015,PA,Birth Rate,15-19,17.8
2016,PA,Birth Rate,15-19,15.9
1988,RI,Birth Rate,15-19,38.3
